Sample,Sample No,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
20220120_SX88.15 - 25,SX88.15,0.030410075,0.31038064,0.337053283,3.014550598,121.3644436,2.72971028,0.207337696,2.335034217,0.061699144,0.015077651,0.043601472,3.013404457
20220120_SX88.15 - 26,SX88.15,1.931904142,13.02604486,16.23531794,7.972008771,13297.00182,70.32839419,0.315848756,11.67141375,0.454786483,10.5567665,0.150989404,21.85138797
20220120_SX88.15 - 27,SX88.15,0.069903619,0.219360565,60.91127069,12.63830338,1612.094185,61.48962328,0.188549942,10.73421397,0.068586349,0.059658084,0.348542561,0.363966229
20220120_JLW34.8 - 1,JLW34.8,0.190058767,4.949669248,142.732379,224.0706068,538.2811968,8.654841194,0.714561195,7.86897067,0.136907167,0.879020361,0.120109947,21.66735588
20220120_JLW34.8 - 2,JLW34.8,0.064139946,2.133909792,133.1417407,151.9293588,724.1140647,9.332218566,0.377070793,7.963592716,0.274112528,0.799176061,0.077352473,19.26266381
20220120_JLW34.8 - 4,JLW34.8,0.030160512,0.755006334,239.4861652,62.38416423,2322.72508,3.643540676,0.482903919,13.23560054,0.142803469,0.549263493,0.070935637,16.25664307
20220120_JLW34.8 - 5,JLW34.8,0.712034405,13.14218998,259.1453757,400.5753586,1995.613063,9.21637073,0.444011375,6.926358153,0.202605052,0.182041707,0.057399685,20.68094851
20220120_JLW34.8 - 6,JLW34.8,0.116473665,27.55335467,74.91779031,843.01772,3258.179988,14.38583336,2.947174838,11.11363273,0.117202938,0.476060139,0.100336016,12.96936538
20220120_Hy1-A1 - 1,Hy1_Flo,401.4614691,647.4743109,480.0416964,115.312158,69.77522492,5.280982108,0.754847615,8.612447011,2.793630492,0.285728909,0.272341852,252.6185295
20220120_Hy1-A1 - 2,Hy1_Flo,359.2395943,997.6013563,444.8454511,102.0450849,61.1647464,7.045904781,0.713027009,6.602159277,2.373533341,0.636794202,0.403940463,193.4942284
20220120_Hy1-A1 - 3,Hy1_Flo,493.216746,799.787845,389.1012467,121.0315417,85.87027032,7.247397343,0.572375156,9.701981621,1.877452283,0.445188655,0.438471226,218.0002297
20220120_Hy1-A1 - 4,Hy1_Flo,395.0851655,717.888019,396.1443267,274.4536017,67.25830717,4.850141479,0.486874577,8.583710291,2.328436519,0.068142679,0.219925194,210.2189128
20220120_Hy1-A1 - 5,Hy1_Flo,359.232008,943.7612422,477.1588445,95.31870395,74.0731631,5.838688156,0.994960391,8.264131005,3.292083615,0.263791506,0.111415355,229.7218595
20220120_Hy1-A2 - 2,Hy1_Coro,1343.598194,1511.840481,1668.19071,2776.004086,236.5166818,3.79148225,2.272276639,28.072834,12.72371323,4.924191385,0.531353967,1076.892446
20220120_Hy1-A3 - 1,Hy1_Coro,997.7195332,1360.29025,1054.844162,160.0919694,249.9684644,5.493086839,2.305441633,23.47214505,12.81554591,0.729119645,0.615274206,899.924455
20220120_Hy1-A4 - 1,Hy1_Coro,1200.072568,1271.86245,1044.002863,1222.158837,238.5739488,4.795393026,2.125835341,25.04159237,10.96707965,0.316341513,0.898484525,1012.857853
20220120_Hy1-A5 - 1,Hy1_Coro,1275.506518,669.1299725,562.3185439,146.8954535,230.3579841,14.8720798,1.311787572,38.74700042,20.10571873,0.929467188,0.791406869,934.2237467
