Deposit,Deposit style,Label,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,130.9,2356.1,1155.51,25.62,882.86,245.31,3.49,67.31,1.37,0.007,10.46,66.43
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,191.02,3256.87,893.55,84.97,2702.04,119.67,26.96,149.93,4.493,0.015,31.59,120.19
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,20.33,531.38,371.55,45.48,6147.5,182.56,418.15,257.29,6.216,0.409,507.29,68.33
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,174.94,3275.92,2077.43,124.66,4461.73,145.08,219.95,197.84,8.231,0.115,256.36,137.61
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,204.13,3957.97,658.63,13.15,784.58,169.48,3.16,38.22,1.67,0.007,6.92,42.69
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,261.28,4571.91,54.39,12.55,853.16,89.02,2.44,23.78,3.126,0.007,5.51,24.55
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,171.76,2825.93,918.67,199.45,820.16,151.78,4.24,50.77,1.836,0.01,8.77,55.76
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,23.46,1208.14,356.84,27.48,1872.39,47.91,23.14,45.22,0.435,0.037,15.62,77.1
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,101.51,3488.04,100.29,0.34,637.94,46.76,1.45,23.5,1.553,0.007,3.44,23.15
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,43.05,3031.21,47.3,224.54,464.62,8.68,3.7,11.7,0.515,0.01,2.8,19.22
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,267.65,3397.19,565.52,6.58,870.28,204.79,3.92,65.55,2.12,0.007,11.32,70.57
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,188.73,4245.02,283.29,1564.14,4897.92,224.73,283.14,178.33,4.811,0.37,401.26,51.81
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,391.79,4701.85,259.55,15.5,1039.65,88.44,3.35,30.34,2.101,0.007,4.62,29.92
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,167.5,3137.87,1060.82,30.14,2267.65,290.99,26.05,130.74,3.734,0.045,32.22,143.49
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,11.41,564.26,81.55,48.27,5544.32,165.46,308.94,203.89,2.866,0.549,463.99,33.24
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,119.52,2608.59,1221.93,76.42,1490.43,449.8,22.83,117.37,2.393,0.017,29,141.89
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,134.69,2099.51,957.38,21.53,908.04,53.81,3.27,67.52,1.195,0.007,7.32,70.42
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,149.93,2841.54,907.31,6.46,1493.64,11.06,3.61,73.93,1.404,0.007,7.36,78.96
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,116.86,1841.38,183.36,55.33,7240.23,193.13,423.46,265.14,4.546,0.66,649.26,62.72
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,161.1,2684.22,986.58,55.37,774.85,57.73,3.78,47.4,1.794,0.007,6.06,49.02
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,129.51,2724.42,1066.55,59.33,1512.65,853.66,23.93,121.91,2.515,0.022,34.42,193.75
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,223.37,4228,766.88,53.34,2249.6,696.41,22.44,150.02,3.614,0.034,31.48,156.17
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,99.48,2618.59,888.72,43.3,1459.68,481.57,28.22,108.16,3.057,0.014,31.52,140.65
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,146.51,2634.72,515.58,17.77,927.54,36.33,8.58,36.39,2.139,0.012,8.66,51.22
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,166.92,4694.95,174.24,0.84,901.51,13.71,1.6,25.46,2.025,0.005,3.27,24.54
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,181.05,3931.19,832.07,42.5,2151.17,470.73,25.78,178.61,3.581,0.022,37.34,181.15
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,46.93,2234.35,522.9,112.82,7428.92,283.47,382.25,304.42,6.65,0.703,629.7,111.96
"Sedimentary  Alum Shale Kallsedet, Western Sweden",Sedimentary,0,206.04,3432.98,1172,24.13,2106.14,329.05,27.81,154.38,4.897,0.007,31.94,164.44
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,100.25,493.55,698.96,221.15,985.92,69.03,1.14,48.41,1.838,0.007,1.94,829.8
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,120.68,162.15,1221.04,178.25,160.84,4.56,3.8,14.3,0.13,0.007,36.9,1567.13
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,54.07,329.71,350.23,102.38,319.94,69.99,1.06,27.82,0.751,0.007,2,825.09
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,99.79,568.16,879.4,176.5,497.21,50.93,1.8,36.29,1.401,0.04,2.38,1277.04
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,166.65,183.55,1211.28,210.22,167.81,7.51,4.14,15.99,0.13,0.007,30.37,2286.69
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,127.14,159.46,1181.11,150.2,143.16,5.5,3.79,17.08,0.13,0.007,21.5,2013.46
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,118.75,177.23,936.79,160.71,160.83,4.85,4.52,15.59,0.13,0.007,33.06,2180.73
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,113.09,147.5,1697.09,262.45,123.27,5.84,2.45,10.62,0.13,0.007,22.55,1360.75
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,122.13,159.68,1314.08,156.81,146.09,5.81,2.13,12.47,0.13,0.007,29.01,1521.72
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,51.21,444.66,793.72,159.02,602.93,60.71,1.3,43.66,1.129,0.007,2.34,978.39
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,140.21,132.55,1139,157.05,139.87,8.13,3.06,14.48,0.13,0.007,16.69,1812.16
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,146.79,164.97,981.6,247.8,155.01,6.98,2.56,11.68,0.13,0.007,35.45,1645.79
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,196.34,192.09,1114.04,232.1,177.62,8.11,4.33,18.15,0.13,0.007,19.59,1951.46
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,104.98,401.35,592.93,144.46,225.78,112.69,1.44,37.44,1.652,0.007,2.49,1484.52
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,131.56,479.5,686.05,161.49,277.25,91.23,1.66,35.13,1.699,0.03,2.64,1591.13
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,106.06,357.99,437.92,150.61,285.7,103.13,1.48,32.91,0.702,0.029,2.04,1168.33
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,165.29,649.06,859.76,168.95,295.95,156.97,1.87,37.07,1.085,0.128,3,1848.75
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,207.86,555.52,716.41,250.02,347.86,99.72,1.35,43.36,1.912,0.007,7.35,1463.59
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,60.17,323.49,549.61,176.82,530.26,69.7,0.67,32.26,1.234,0.007,1.77,774.99
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,56.65,470.31,644.88,196.81,609.05,62.47,0.97,39.14,1.515,0.007,2.28,915.64
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,106.37,524.02,803.09,147.11,620.06,99.9,1.58,41.01,2.155,0.007,2.47,1095.94
"Sedimentary  Aralka Armadeus Basin, NT,  Australia",Sedimentary,0,66.6,442,643.72,187.53,771.66,68.88,1.16,45.73,1.762,0.038,1.93,959.57
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,40.58,408.21,274.32,18.48,449.96,349.42,102.51,120.25,0.516,0.007,4.8,598.42
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,18.61,350.66,219.29,3.24,784.24,67.87,39.72,67.35,0.13,0.007,0.97,406.61
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,55.73,627.79,418.51,114.56,404.29,297.25,123.4,137.04,1.219,0.007,3.37,1046.63
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,49.32,454.38,338.29,60.71,686.75,308.5,31.9,116.1,1.454,0.007,7.94,269.93
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,23.68,322.63,140.33,2067,142.2,39.97,14.62,39.29,0.438,0.007,0.73,174.88
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,22.72,258.49,122.92,28.98,569.63,248.59,164.58,183.81,0.288,0.007,6.44,917.46
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,34.81,473.02,355.29,44.2,555.27,81.97,62.28,117.99,1.046,0.007,3.44,660.31
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,72.25,666.25,318.37,22.14,554.63,400.05,221.99,223.91,0.983,0.051,9.13,1051.94
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,40.8,503.28,285.82,28.74,475.22,186.86,112.27,132.11,0.747,0.051,3.21,952.26
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,40.45,496.73,323.15,78.05,582.67,213.01,133.98,170.48,0.976,0.007,2.49,1284.69
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,72.55,571.41,239.42,30.46,470.37,538.12,124.83,139.22,1.032,0.007,9.29,700.68
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,26.88,310.64,113.64,16.73,521.91,274.73,146.55,154.06,0.435,0.007,5.98,798.83
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,42.74,709.53,417.01,68.94,421.02,56.14,38.12,125.5,1.465,0.007,1.74,517.11
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,42.97,559.11,357.06,4.08,511.22,191.55,106.52,139.09,0.804,0.007,2.93,981.12
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,51.22,1467.83,8268.3,76.37,2508.23,4998,892.03,1212.13,14.684,0.871,111.01,4531.84
"Sedimentary  Doushantuo Formation Guizhou Province, China",Sedimentary,0,7.64,88.7,78.33,43.04,866.65,275.57,250.61,172.67,0.13,0.03,9.75,1131.7
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,105.16,352.07,126.16,2.35,190.94,318.98,0.05,2.97,0.13,0.007,1.52,55.41
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,82.27,296.37,41.09,4.22,102.12,119.76,0.01,2.28,0.13,0.007,0.55,34.3
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,88.7,290.41,106.58,4.68,175.77,223.5,0.04,2.32,0.13,0.007,1.11,44.49
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,125.27,424.12,48.41,5.27,71.74,120.75,0.01,2.42,0.13,0.007,0.76,28.01
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,0.06,1.13,2.57,0.36,62.74,1.52,0.01,0,0.13,0.007,0.06,1.47
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,21.95,156.75,45.85,3.22,258.09,144.32,0.01,1.94,0.13,0.007,0.33,42.01
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,7.53,74.9,37.9,0.42,462.28,106.16,0.01,3.17,0.13,0.007,0.24,37.5
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,66.56,589.9,245.52,570.8,522.54,103.83,2.32,16.29,1.65,0.059,26.47,106.04
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,68.43,527.17,346.22,389.9,1015.44,122.45,2.47,22.81,2.483,0.007,22.78,101.62
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,139.18,410.63,44.88,4.81,63.02,120.67,0.02,2.48,0.13,0.007,0.95,30.04
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,10.62,123.59,55.2,0.95,349.7,93.7,0.01,2.33,0.13,0.007,0.25,42.08
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,77.4,811.61,85.07,479.3,214.6,41.84,0.48,5.19,0.656,0.036,12.16,64.19
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,10.76,132.17,75.96,2.8,368.16,79.92,0.01,2.39,0.13,0.007,0.21,41.64
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,0.29,5.37,20.95,1.06,209.86,12.96,0.01,0.35,0.13,0.007,0.14,9.89
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,130.9,407.7,44.28,6.42,63.09,130.5,0.03,2.35,0.13,0.003,0.89,31.62
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,9.68,114.74,40.43,2.26,378.35,103.9,0.01,2.86,0.13,0.004,0.33,51.61
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,8.89,103.33,34.85,3.51,429.01,87.18,0.01,2.82,0.13,0.003,0.26,48.78
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,9.91,122.16,52.55,9.68,460.95,103.39,0.01,3.09,0.13,0.007,0.26,50.99
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,72.64,258.34,35.3,4.09,139,119.06,0.01,2.46,0.13,0.007,0.58,19.38
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,13.11,125.26,68.69,3.27,366.09,92.07,0.01,2.21,0.13,0.007,0.22,34.19
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,11.25,159.78,47.53,0.23,601.85,120.43,0.01,4.25,0.13,0.007,0.17,65.29
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,92.54,838.43,74.57,326.27,283.8,61.56,0.55,8.06,0.601,0.038,6.35,48.85
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,5.19,45.88,23.83,1.43,237.19,31.97,0.01,1.09,0.13,0.007,0.15,18.85
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,93.14,308.69,40.82,5.13,129.82,132.04,0.01,2.46,0.13,0.007,0.68,30.73
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,11.92,121.15,71.2,2.66,413.29,94.67,0.01,2.53,0.13,0.007,0.22,48.23
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,125.52,351.89,43.55,7.06,56.87,101.05,0.01,2.13,0.13,0.007,0.62,23.37
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,106.49,339.96,44.46,4.59,58.26,114.26,0.01,2.21,0.13,0.007,0.85,28.23
"Sedimentary  Jet Rock Yorkshire, UK",Sedimentary,0,23.33,150.76,56.43,1.6,258.76,86.98,0.01,2,0.13,0.005,0.34,37.73
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,348.21,282,10.3,20.42,1492.14,2.19,19.4,71.58,0.13,0.256,9.14,330.64
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,169.05,163.5,9.12,12.04,6983.09,6.1,8.71,163.75,0.13,0.112,12.8,320.75
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,52.18,121.34,54.59,8.75,1010.15,4.38,1.6,47.57,0.13,0.079,9.22,161.15
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,28.58,155.77,37.51,7.91,867.08,2.97,1.12,32.55,0.13,0.036,4.25,137.57
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,57.8,106.59,50.67,9.73,895.39,4.17,2.02,45.9,0.133,0.071,8.99,160.45
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,254.41,207.38,8.39,11.18,8728.25,5.73,12.14,186.24,0.107,0.173,14.78,442.45
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,420.72,355.62,10.42,9.01,2361.08,5.38,29.08,107.28,0.094,0.488,10.51,481.54
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,597.38,449.3,10.89,8.01,1713.24,2.29,31.12,93.11,0.119,0.484,12.12,478.15
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,80.79,96.94,4.47,5.53,16930.19,8.41,5.02,344.64,0.13,0.09,25.91,426.7
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,62.06,129.29,58.92,9.14,955.55,4.31,1.99,49.71,0.13,0.099,14.22,132.16
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,41.72,80.71,34.25,9.42,714.96,3.93,1.24,35.77,0.13,0.033,5.17,117.6
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,43.15,88.19,39.96,5.76,715.71,4.15,1.7,42.67,0.13,0.045,7.38,132.18
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,45.84,94.01,37.9,12.74,751.36,4.31,1.65,44.88,0.13,0.039,7.41,121.02
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,57.83,126.51,53.67,15.52,926.94,3.89,1.88,47.44,0.13,0.088,8.49,211.71
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,31.66,126.12,36.87,0.19,1067.33,4.52,1.35,38.56,0.13,0.076,5.61,160.31
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,54.54,366.68,43.5,4.66,1763.25,3.67,1.58,45.08,0.13,0.13,4.34,225.14
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,24.1,220.98,38.55,2.14,1839.66,2.96,0.95,34.14,0.13,0.185,2.54,207.24
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,530.66,477.95,22.16,16.73,6280.95,5.04,19.6,163.15,0.165,0.458,9.77,901
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,459.49,681.05,50.3,19.49,7536.78,11.02,16.9,149.66,0.342,0.275,10.03,782.34
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,18.16,25.65,22.77,61.35,7827.59,7.32,1.66,252.62,0.13,0.028,42.69,72.1
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,3.53,13.99,0.77,3.73,8802.54,6.13,0.37,257.02,0.13,0.005,46.19,32.8
"Sedimentary  Woody Is. Siltstone Woody Island, Tas, Australia",Sedimentary,0,2.11,5.72,0.67,3.85,14028.73,9.41,0.02,431.54,0.13,0.005,66.43,93.66
"Sedimentary Canning Basin, Australia",Sedimentary,0,290.68,146.16,76.99,206.32,58.57,1.24,0.61,6.94,0.431,0.013,0.67,217.56
"Sedimentary Canning Basin, Australia",Sedimentary,0,115.04,123.7,130.19,174.17,672.28,31.75,0.6,4.62,0.268,0.022,1.99,216.76
"Sedimentary Canning Basin, Australia",Sedimentary,0,83.64,166.07,139.55,84.79,638.83,28.29,0.84,5.08,0.738,0.037,1.73,221.22
"Sedimentary Canning Basin, Australia",Sedimentary,0,263.77,130.72,54.16,166.79,52.04,1.03,0.43,5,0.44,0.011,0.7,225.97
"Sedimentary Canning Basin, Australia",Sedimentary,0,111.8,333.4,191.42,3.17,164.68,41.12,0.36,2.78,0.13,0.008,1.86,169.42
"Sedimentary Canning Basin, Australia",Sedimentary,0,65.46,194.61,138,87.84,674.39,29.71,1.01,4.74,1.168,0.035,2.03,272.09
"Sedimentary Canning Basin, Australia",Sedimentary,0,97.9,456.41,291.71,20.63,289.27,128.56,0.69,12.06,0.153,0.01,4.34,321.08
"Sedimentary Canning Basin, Australia",Sedimentary,0,143.49,481.02,115.56,25.94,159.87,23.69,0.11,1.42,0.192,0.007,1.6,84.52
"Sedimentary Canning Basin, Australia",Sedimentary,0,155.48,177.22,239.58,77.74,925.08,57.22,0.9,11.4,1.563,0.027,2.82,396.53
"Sedimentary Canning Basin, Australia",Sedimentary,0,38.83,132.35,81.46,14.13,83.41,19.91,0.27,1.36,0.128,0.018,1.24,70.29
"Sedimentary Canning Basin, Australia",Sedimentary,0,204.02,101,62.56,126.5,44.04,1.62,0.45,5.5,0.277,0.007,0.2,140.01
"Sedimentary Canning Basin, Australia",Sedimentary,0,2.69,12.96,25.46,8.55,46.81,22.51,0.05,0.46,0.13,0.007,0.42,25.19
"Sedimentary Canning Basin, Australia",Sedimentary,0,227.98,114.92,57.14,180.82,48.04,0.39,0.52,6.51,0.249,0.007,0.53,229.01
"Sedimentary Canning Basin, Australia",Sedimentary,0,5.87,26.17,67.82,9.55,49.24,82.58,0.15,1.51,0.135,0.007,1.55,69.21
"Sedimentary Canning Basin, Australia",Sedimentary,0,238.63,125.76,80.5,196.58,50.39,0.72,0.58,6.57,0.365,0.01,0.56,174.58
"Sedimentary Canning Basin, Australia",Sedimentary,0,279.08,117.15,59.49,214.08,51.58,0.41,0.62,6.46,0.435,0.007,0.32,180.15
"Sedimentary Canning Basin, Australia",Sedimentary,0,213.56,121.5,74.6,215.8,51.69,0.49,0.72,3.42,0.392,0.007,0.93,192.4
"Sedimentary Canning Basin, Australia",Sedimentary,0,261.2,131.59,74.04,174.49,55.45,1.26,0.52,5.76,0.35,0.009,0.68,255.22
"Sedimentary Canning Basin, Australia",Sedimentary,0,266.68,136.79,72.46,221.28,56.57,0.8,0.61,7.38,0.279,0.007,0.39,257.42
"Sedimentary Canning Basin, Australia",Sedimentary,0,255.03,133.34,72.44,174.67,59.26,0.82,0.54,5.69,0.347,0.007,0.63,206.17
"Sedimentary Canning Basin, Australia",Sedimentary,0,266.7,174.94,47.3,295.61,62.56,1.14,0.78,10,0.469,0.018,0.99,242.77
"Sedimentary Canning Basin, Australia",Sedimentary,0,290.1,167.76,96.04,161.33,64.75,1.28,0.69,6.5,0.433,0.015,0.98,275.65
"Sedimentary Canning Basin, Australia",Sedimentary,0,272.29,163.39,88.6,219.19,66.05,0.36,0.85,6.74,0.392,0.02,0.78,282.07
"Sedimentary Canning Basin, Australia",Sedimentary,0,25.16,168.43,77.78,11.93,66.7,40.7,0.19,1.74,0.13,0.007,1.36,94.99
"Sedimentary Canning Basin, Australia",Sedimentary,0,340.12,177.4,93.89,251.96,69.13,0.56,1,5.72,0.491,0.021,1,285.33
"Sedimentary Canning Basin, Australia",Sedimentary,0,34.08,155.42,65.15,91.7,71.13,119.21,0.62,2.95,0.375,0.007,2.18,112.15
"Sedimentary Canning Basin, Australia",Sedimentary,0,327.01,158.01,86.87,210.78,71.48,0.83,0.87,10.32,0.463,0.011,0.49,262.87
"Sedimentary Canning Basin, Australia",Sedimentary,0,347.77,191.39,185.85,223.35,71.71,0.75,0.76,5.62,0.541,0.007,1.22,231.74
"Sedimentary Canning Basin, Australia",Sedimentary,0,45.36,169.1,139.23,1.65,83.65,11.16,0.4,1.88,0.13,0.007,1.21,120.02
"Sedimentary Canning Basin, Australia",Sedimentary,0,57.99,329.82,1291.69,661.47,91.32,193.37,4.47,14.44,1.445,0.027,10.26,589.6
"Sedimentary Canning Basin, Australia",Sedimentary,0,485.35,257.9,313.89,209.9,114.65,0.72,1.11,6.96,0.528,0.007,1.33,413.68
"Sedimentary Canning Basin, Australia",Sedimentary,0,79.92,428,1980,1927.9,120.74,201.3,5.11,17.72,2.273,0.027,8.96,826.58
"Sedimentary Canning Basin, Australia",Sedimentary,0,67.83,391.54,1520.14,1280.02,135.42,137.52,5.95,15.34,1.793,0.042,13.71,757.4
"Sedimentary Canning Basin, Australia",Sedimentary,0,89.26,516.44,2592.82,2588.07,149.71,220.6,5.2,21.09,2.813,0.041,10.08,999.69
"Sedimentary Canning Basin, Australia",Sedimentary,0,65.55,401.88,2044.31,532.56,153.6,194.71,7.66,17.82,1.288,0.051,12.47,930.86
"Sedimentary Canning Basin, Australia",Sedimentary,0,91.4,533.25,2299.11,2191.86,153.94,250.85,4.9,22.2,2.593,0.054,6.82,991.26
"Sedimentary Canning Basin, Australia",Sedimentary,0,100.98,633.36,2068.89,1064.78,166.23,230.75,6.82,20.91,1.604,0.043,10.56,980.4
"Sedimentary Canning Basin, Australia",Sedimentary,0,92.42,565.12,1555.87,959.81,173.29,181.91,7.53,17.55,1.439,0.034,17.94,840.78
"Sedimentary Canning Basin, Australia",Sedimentary,0,92.85,298.39,188.26,7.7,176.07,50.56,0.46,2.78,0.13,0.007,2.35,171.57
"Sedimentary Canning Basin, Australia",Sedimentary,0,45.14,245.2,245.18,0.35,189.55,32.67,0.35,3.18,0.108,0.018,1.9,182.37
"Sedimentary Canning Basin, Australia",Sedimentary,0,134.25,916.99,3237.15,986.89,294.05,259.63,11.52,30.64,1.862,0.078,7.69,1658.64
"Sedimentary Canning Basin, Australia",Sedimentary,0,156.17,153.42,168.88,231.98,366.9,23.55,0.62,5.49,0.907,0.029,5.62,226.32
"Sedimentary Canning Basin, Australia",Sedimentary,0,340.22,374.79,233.89,131.98,382.19,30.74,0.84,12.01,1.096,0.007,3.07,402.53
"Sedimentary Canning Basin, Australia",Sedimentary,0,295.02,1062.62,488.27,666.94,495.31,347.21,1.48,22.05,0.346,0.016,6.22,654.7
"Sedimentary Canning Basin, Australia",Sedimentary,0,129.4,132.52,161.31,267.19,528.95,53.58,0.4,6.39,0.416,0.124,2.86,246.95
"Sedimentary Canning Basin, Australia",Sedimentary,0,68.09,162.03,130.5,77.14,604.51,26.93,0.83,4.2,0.983,0.033,1.69,202.2
"Sedimentary Canning Basin, Australia",Sedimentary,0,122.21,116.18,236.59,167.45,745.16,40.69,0.59,5.95,0.634,0.075,3.08,181.79
"Sedimentary Canning Basin, Australia",Sedimentary,0,104.41,167.29,182.1,71.83,831.19,39.13,0.79,7.58,1.127,0.015,2.43,324.77
"Sedimentary Canning Basin, Australia",Sedimentary,0,615,560.58,458.68,205.27,842.5,82.88,2.1,26.3,2.121,0.047,3.73,877.12
"Sedimentary Canning Basin, Australia",Sedimentary,0,604.79,783.46,1072.36,161.2,1104.84,270.8,2.64,43,5.646,0.162,5.42,1023.07
"Sedimentary Canning Basin, Australia",Sedimentary,0,2.25,8.92,0.18,3.88,11.13,4.28,0,0.69,0.123,0.007,0.37,1.18
"Sedimentary Canning Basin, Australia",Sedimentary,0,13.01,16.89,6.47,7.42,19.1,25.63,0.04,1.28,0.138,0.007,2.79,17.04
"Sedimentary Canning Basin, Australia",Sedimentary,0,5.03,8.58,2.87,5.81,25.35,7.56,0.02,0.71,0.132,0.007,0.99,6.13
